,acousticness,danceability,energy,instrumentalness,loudness,tempo,liveness,valence,genre
0,0.703,0.605,0.228,0.00198,-16.116,78.31,0.0936,0.285,country
0,0.567,0.613,0.355,0.0,-8.218,135.622,0.0909,0.129,country
0,0.19,0.634,0.808,0.0,-4.12,82.021,0.0898,0.937,country
0,0.337,0.606,0.702,0.0,-4.691,84.969,0.13,0.632,country
0,0.0986,0.723,0.674,1.83e-05,-7.427,124.9,0.279,0.61,country
0,0.0369,0.494,0.878,0.0,-4.333,138.827,0.102,0.569,country
0,0.0471,0.607,0.815,2.81e-05,-6.619,136.949,0.111,0.57,country
0,0.7,0.611,0.246,2.59e-05,-9.296,114.006,0.236,0.284,country
0,0.0552,0.479,0.615,0.0,-7.107,132.62,0.0526,0.214,country
0,0.418,0.65,0.712,2.28e-05,-8.25,94.292,0.04,0.921,country
0,0.54,0.66,0.34,0.0,-10.113,108.946,0.0804,0.384,country
0,0.0566,0.646,0.479,0.0,-9.823,137.703,0.0517,0.674,country
0,0.118,0.663,0.48,0.000387,-9.267,95.912,0.165,0.218,country
0,0.27,0.629,0.391,6.56e-06,-13.625,92.878,0.397,0.481,country
0,0.0711,0.795,0.582,0.0,-10.156,121.798,0.12,0.965,country
0,0.691,0.666,0.296,3.73e-06,-15.412,80.006,0.0552,0.392,country
0,0.146,0.462,0.485,2.24e-06,-7.533,168.374,0.0604,0.506,country
0,0.0906,0.596,0.539,0.0,-8.861,77.43,0.247,0.642,country
0,0.0721,0.764,0.587,6.45e-06,-7.002,89.98,0.094,0.494,country
0,0.374,0.328,0.124,0.000515,-17.134,66.791,0.15,0.195,country
0,0.24,0.44,0.765,4.73e-05,-5.973,184.257,0.349,0.792,country
0,0.279,0.555,0.437,2.5e-06,-13.131,88.729,0.0782,0.517,country
0,0.142,0.671,0.339,0.0,-16.098,86.292,0.293,0.847,country
0,0.512,0.52,0.154,0.000145,-12.164,110.734,0.103,0.167,country
0,0.326,0.707,0.652,2.92e-06,-9.586,126.726,0.0809,0.856,country
0,0.325,0.627,0.664,0.0,-9.035,131.983,0.653,0.669,country
0,0.354,0.715,0.775,0.0,-6.613,106.013,0.144,0.803,country
0,0.585,0.581,0.365,7e-06,-9.536,76.53,0.0792,0.171,country
0,0.191,0.676,0.733,0.0,-7.745,98.234,0.192,0.591,country
0,0.164,0.674,0.578,0.0,-10.919,172.498,0.103,0.961,country
0,0.671,0.64,0.534,0.0,-10.594,148.735,0.0943,0.734,country
0,0.473,0.56,0.239,1.37e-05,-16.732,201.672,0.0565,0.601,country
0,0.508,0.608,0.26,1.46e-06,-12.14,72.398,0.112,0.301,country
0,0.542,0.563,0.429,0.0,-9.918,89.338,0.115,0.385,country
0,0.421,0.406,0.517,0.0,-7.182,153.732,0.123,0.388,country
0,0.377,0.65,0.534,0.0,-10.391,94.558,0.0416,0.428,country
0,0.532,0.686,0.622,0.0,-7.31,163.245,0.0511,0.982,country
0,0.458,0.916,0.57,0.000721,-13.011,104.415,0.0595,0.957,country
0,0.562,0.764,0.455,1.61e-05,-10.336,137.148,0.0756,0.707,country
0,0.06,0.673,0.842,0.000257,-4.627,125.571,0.184,0.897,country
0,0.167,0.514,0.55,8.25e-05,-10.162,93.023,0.107,0.552,country
0,0.116,0.727,0.381,0.000295,-12.473,117.543,0.166,0.705,country
0,0.0253,0.596,0.737,0.0,-9.332,158.584,0.106,0.8,country
0,0.377,0.5,0.202,0.00135,-14.746,82.972,0.0878,0.334,country
0,0.0522,0.471,0.617,0.0,-8.394,182.323,0.229,0.491,country
0,0.174,0.631,0.37,0.0,-13.002,127.996,0.076,0.277,country
0,0.237,0.871,0.714,1.94e-06,-6.413,106.797,0.072,0.962,country
0,0.249,0.377,0.326,0.000686,-12.515,163.741,0.111,0.222,country
0,0.148,0.588,0.442,0.0,-9.71,135.476,0.0445,0.402,country
0,0.19,0.552,0.384,3.3e-05,-9.641,139.986,0.0852,0.286,country
0,0.597,0.644,0.667,0.0,-5.741,125.86,0.12,0.412,country
0,0.22,0.621,0.469,3.34e-05,-10.438,144.665,0.067,0.511,country
0,0.717,0.67,0.265,1.06e-06,-12.741,117.799,0.102,0.255,country
0,0.548,0.662,0.517,0.0,-8.849,76.568,0.325,0.598,country
0,0.519,0.452,0.712,1.55e-06,-9.69,164.132,0.189,0.844,country
0,0.393,0.661,0.389,1.04e-06,-12.292,124.147,0.0902,0.515,country
0,0.314,0.572,0.449,0.0,-6.566,122.632,0.0301,0.207,country
0,0.68,0.766,0.336,0.00357,-15.641,106.053,0.251,0.487,country
0,0.481,0.729,0.651,0.0,-8.184,107.925,0.0509,0.513,country
0,0.601,0.718,0.378,1.81e-05,-15.851,118.989,0.0525,0.961,country
0,0.282,0.523,0.399,7.96e-06,-13.065,154.931,0.113,0.495,country
0,0.154,0.64,0.584,0.000798,-11.064,141.076,0.171,0.89,country
0,0.196,0.634,0.373,1.38e-05,-10.506,107.694,0.0951,0.596,country
0,0.546,0.426,0.27,0.0,-15.245,190.85,0.0583,0.331,country
0,0.726,0.654,0.259,0.0,-16.728,112.1,0.0541,0.466,country
0,0.594,0.391,0.408,0.0,-7.0,69.399,0.309,0.273,country
0,0.496,0.573,0.656,3.41e-05,-5.564,140.036,0.0991,0.547,country
0,0.00204,0.487,0.859,0.0,-4.403,148.037,0.322,0.377,country
